
2025-07-21 19:55:56,005 - ERROR - Podcast: Error procesando episodio #377: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,117 - ERROR - Podcast: Error procesando episodio #376: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,235 - ERROR - Podcast: Error procesando episodio #375: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,350 - ERROR - Podcast: Error procesando episodio #374: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,470 - ERROR - Podcast: Error procesando episodio #373: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,598 - ERROR - Podcast: Error procesando episodio #372: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,715 - ERROR - Podcast: Error procesando episodio #371: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,832 - ERROR - Podcast: Error procesando episodio #370: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:56,955 - ERROR - Podcast: Error procesando episodio #369: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,079 - ERROR - Podcast: Error procesando episodio #368: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,194 - ERROR - Podcast: Error procesando episodio #367: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,314 - ERROR - Podcast: Error procesando episodio #366: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,436 - ERROR - Podcast: Error procesando episodio #365: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,549 - ERROR - Podcast: Error procesando episodio #364: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,665 - ERROR - Podcast: Error procesando episodio #363: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,779 - ERROR - Podcast: Error procesando episodio #362: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:57,891 - ERROR - Podcast: Error procesando episodio #361: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,018 - ERROR - Podcast: Error procesando episodio #360: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,133 - ERROR - Podcast: Error procesando episodio #359: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,249 - ERROR - Podcast: Error procesando episodio #358: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,365 - ERROR - Podcast: Error procesando episodio #357: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,483 - ERROR - Podcast: Error procesando episodio #356: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,594 - ERROR - Podcast: Error procesando episodio #355: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,715 - ERROR - Podcast: Error procesando episodio #354: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,829 - ERROR - Podcast: Error procesando episodio #353: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:58,939 - ERROR - Podcast: Error procesando episodio #352: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,053 - ERROR - Podcast: Error procesando episodio #351: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,166 - ERROR - Podcast: Error procesando episodio #350: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,283 - ERROR - Podcast: Error procesando episodio #349: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,426 - ERROR - Podcast: Error procesando episodio #348: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,547 - ERROR - Podcast: Error procesando episodio #347: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,671 - ERROR - Podcast: Error procesando episodio #346: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,816 - ERROR - Podcast: Error procesando episodio #345: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:55:59,932 - ERROR - Podcast: Error procesando episodio #344: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:00,050 - ERROR - Podcast: Error procesando episodio #343: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
